GENE,SNP,baseMean,EFFECTSIZE,lfcSE,stat,pvalue,P
LOC102552269,LOC102552269,189.9049662,-6.483041675,0.380645473,-10.44503822,1.54E-25,4.54E-23
LOC102556873,LOC102556873,676.031306,-5.333825097,0.343206228,-15.30785489,6.78E-53,4.19E-49
Trim44,Trim44,730.064612,-5.250280701,0.303833282,-17.04696512,3.68E-65,6.83E-61
LOC108350739,LOC108350739,69.27639251,-5.198949504,0.417215737,-7.702948134,1.33E-14,1.15E-12
LOC120096325,LOC120096325,66.52408897,-5.040316634,0.415274539,-8.407870425,4.18E-17,5.06E-15
Clca5,Clca5,52.64189772,-4.808234358,0.448704152,-7.684158614,1.54E-14,1.32E-12
LOC102554451,LOC102554451,43.88340139,-4.743574223,0.43721686,-6.848560762,7.46E-12,4.27E-10
Rpl12,Rpl12,514.8413603,-4.638211401,0.344089552,-13.35473757,1.11E-40,1.59E-37
LOC298795,LOC298795,38.45887138,-4.48219108,0.435977617,-6.77335935,1.26E-11,6.88E-10
LOC120098509,LOC120098509,61.72180796,-4.437218284,0.451964771,-7.100486996,1.24E-12,8.15E-11
Tpm4,Tpm4,169.0374458,-4.426428964,0.34142456,-12.55046565,3.95E-36,4.07E-33
LOC120095201,LOC120095201,70.12085834,-4.412097017,0.396784971,-9.938328985,2.84E-23,6.57E-21
Slc30a2,Slc30a2,52.10400521,-4.391857807,0.431938675,-8.111996419,4.98E-16,5.40E-14
Lin7c,Lin7c,64.25115578,-4.232202214,0.394572869,-9.734744781,2.14E-22,4.73E-20
Spi1,Spi1,37.41533703,-4.178100366,0.449900525,-6.557948135,5.46E-11,2.63E-09
LOC102554731,LOC102554731,53.81497963,-4.118595254,0.442409599,-8.067919557,7.15E-16,7.66E-14
Ccnd2,Ccnd2,45.99918616,-4.116709492,0.427553605,-8.283188239,1.20E-16,1.41E-14
Nkx2-3,Nkx2-3,30.80386713,-4.087157522,0.465416721,-6.915724408,4.65E-12,2.78E-10
LOC102547938,LOC102547938,30.7327206,-4.082382044,0.449258501,-6.343165188,2.25E-10,9.46E-09
LOC120099072,LOC120099072,34.44269424,-4.051713319,0.43572858,-7.414609165,1.22E-13,9.19E-12
Prpf31,Prpf31,513.08319,-4.036630955,0.336808549,-11.94294708,7.07E-33,5.24E-30
LOC102555374,LOC102555374,28.49302549,-4.034694509,0.465929701,-6.836348036,8.12E-12,4.59E-10
LOC108352329,LOC108352329,36.78181755,-4.02441641,0.446874166,-7.051355089,1.77E-12,1.13E-10
LOC120101813,LOC120101813,36.22678647,-4.002097964,0.441866743,-7.347075401,2.03E-13,1.47E-11
Fbn2,Fbn2,42.08019984,-3.957516663,0.425766669,-8.141265095,3.91E-16,4.34E-14
LOC120094648,LOC120094648,34.04710632,-3.922632381,0.445464358,-7.167866297,7.62E-13,5.17E-11
LOC108352469,LOC108352469,32.8132539,-3.915642504,0.436524125,-7.43508766,1.04E-13,8.01E-12
Wasf3,Wasf3,220.8064561,-3.914251523,0.334886462,-11.55435666,7.02E-31,3.61E-28
LOC108350529,LOC108350529,33.44157438,-3.899117104,0.472360396,-6.84264617,7.77E-12,4.43E-10
Cd300e,Cd300e,26.28226451,-3.87814407,0.469891392,-6.685061097,2.31E-11,1.20E-09
LOC102550505,LOC102550505,26.80802285,-3.841465845,0.471346302,-6.672525456,2.51E-11,1.30E-09
LOC102555078,LOC102555078,23.93528577,-3.807515521,0.463522024,-5.930842862,3.01E-09,9.69E-08
LOC120101578,LOC120101578,30.25854727,-3.805850106,0.444322931,-7.034762104,2.00E-12,1.26E-10
LOC120094659,LOC120094659,56.61470793,-3.773632866,0.418787414,-8.490165982,2.06E-17,2.60E-15
Yy1,Yy1,614.9585979,-3.75373556,0.321164485,-11.66468243,1.93E-31,1.16E-28
LOC103691971,LOC103691971,121.1217657,-3.746593355,0.323099465,-11.36110068,6.53E-30,3.03E-27
LOC120097843,LOC120097843,25.34053313,-3.73517076,0.459193704,-5.990661869,2.09E-09,6.97E-08
LOC684773,LOC684773,231.5200006,-3.733357599,0.383963162,-9.677270953,3.77E-22,7.76E-20
Casc3,Casc3,203.7687976,-3.731911984,0.353167774,-10.47138547,1.17E-25,3.51E-23
LOC120097911,LOC120097911,28.14128627,-3.72448521,0.46997455,-5.976710655,2.28E-09,7.55E-08
LOC120095191,LOC120095191,34.11482341,-3.722727373,0.433827989,-7.56306257,3.94E-14,3.23E-12
LOC100910657,LOC100910657,33.58767145,-3.714262602,0.459341393,-6.663054473,2.68E-11,1.37E-09
LOC120099714,LOC120099714,35.93530584,-3.683475998,0.460781294,-6.839686108,7.94E-12,4.50E-10
LOC120102811,LOC120102811,20.8056315,-3.678227133,0.472988981,-6.416791506,1.39E-10,6.14E-09
Lman1l,Lman1l,64.96488014,-3.670233891,0.376651393,-9.353422212,8.49E-21,1.42E-18
LOC108353207,LOC108353207,20.94797776,-3.663701995,0.473524817,-6.410441357,1.45E-10,6.39E-09
Cacna2d4,Cacna2d4,25.82208517,-3.650856311,0.464657634,-5.901687247,3.60E-09,1.13E-07
Fabp7,Fabp7,181.1754696,-3.642206922,0.340908291,-10.56326264,4.41E-26,1.46E-23
LOC103690421,LOC103690421,21.77100592,-3.630345937,0.468495706,-5.763253999,8.25E-09,2.39E-07
Mybphl,Mybphl,36.18826087,-3.606734915,0.441653589,-7.388818127,1.48E-13,1.10E-11
Tspan1,Tspan1,66.07612218,-3.562187029,0.359632912,-9.562291134,1.15E-21,2.14E-19
RGD1559972,RGD1559972,41.57086472,-3.548466569,0.420853697,-7.89305573,2.95E-15,2.82E-13
LOC108352692,LOC108352692,31.83298319,-3.547040122,0.46915334,-6.320178929,2.61E-10,1.08E-08
LOC108352072,LOC108352072,27.81007106,-3.521440082,0.475036752,-5.859205377,4.65E-09,1.41E-07
LOC120094163,LOC120094163,35.72860701,-3.51917738,0.420677411,-7.726101504,1.11E-14,9.84E-13
Fcna,Fcna,26.46773147,-3.507219286,0.466449635,-6.172636761,6.72E-10,2.53E-08
LOC102552406,LOC102552406,26.23936754,-3.505239457,0.468635888,-5.867438132,4.43E-09,1.35E-07
LOC120095912,LOC120095912,35.65333248,-3.502920525,0.470717833,-6.421861265,1.35E-10,5.96E-09
LOC108350879,LOC108350879,22.43187642,-3.495064164,0.478746545,-6.333732457,2.39E-10,1.00E-08
RT1-T24-3,RT1-T24-3,22.83779342,-3.46712582,0.479531439,-6.325720175,2.52E-10,1.05E-08
LOC102553927,LOC102553927,23.73284642,-3.438246144,0.466423533,-6.045347893,1.49E-09,5.18E-08
Otud6b,Otud6b,247.6823749,-3.42325324,0.354298515,-9.624720008,6.29E-22,1.24E-19
Gtf3c6,Gtf3c6,219.1666013,-3.415733586,0.354866559,-9.582165758,9.50E-22,1.78E-19
LOC102551333,LOC102551333,54.28504001,-3.405441078,0.444535292,-7.443838232,9.78E-14,7.53E-12
LOC120097171,LOC120097171,26.62830566,-3.400834486,0.448619213,-6.7573247,1.41E-11,7.63E-10
Atp8b4,Atp8b4,17.3719393,-3.396702291,0.478815436,-6.116326722,9.58E-10,3.48E-08
LOC102549636,LOC102549636,123.2309084,-3.387169349,0.354368077,-9.454922068,3.23E-21,5.82E-19
Gfi1,Gfi1,37.34840167,-3.381083193,0.435922471,-7.302805331,2.82E-13,2.03E-11
Nhlh2,Nhlh2,17.61841879,-3.380342556,0.479317017,-6.111827837,9.85E-10,3.57E-08
Tma7,Tma7,1190.298088,-3.373298917,0.22087727,-15.25699946,1.48E-52,6.86E-49
Fbxo32,Fbxo32,26.73159143,-3.369912034,0.458614243,-6.510929056,7.47E-11,3.48E-09
LOC120094597,LOC120094597,16.59408075,-3.35825052,0.479318691,-6.062523458,1.34E-09,4.67E-08
LOC120095943,LOC120095943,57.63462523,-3.352600064,0.411157657,-7.934804554,2.11E-15,2.11E-13
LOC120097213,LOC120097213,21.95536915,-3.351749011,0.47668293,-5.604216617,2.09E-08,5.49E-07
Neurod1,Neurod1,17.09991544,-3.350768445,0.479764884,-6.073829825,1.25E-09,4.42E-08
LOC102551138,LOC102551138,19.60396666,-3.344989345,0.475382712,-5.53138164,3.18E-08,7.82E-07
LOC120094700,LOC120094700,55.91680291,-3.337027068,0.372968321,-8.66759172,4.41E-18,5.84E-16
Gnl3l,Gnl3l,210.0910203,-3.332331555,0.310248734,-10.67883566,1.28E-26,4.47E-24
LOC102555203,LOC102555203,24.46194152,-3.327931411,0.4826369,-6.273523766,3.53E-10,1.43E-08
LOC120102250,LOC120102250,20.28270555,-3.325092293,0.481582828,-6.154353679,7.54E-10,2.82E-08
LOC120093674,LOC120093674,34.89280127,-3.317598521,0.451060643,-6.920052155,4.51E-12,2.71E-10
Cstf3,Cstf3,405.4247346,-3.309125126,0.310316562,-10.63966227,1.95E-26,6.69E-24
LOC102555439,LOC102555439,2070.940385,-3.284218986,0.352481661,-9.333601998,1.02E-20,1.68E-18
Clca2,Clca2,17.74086344,-3.282791702,0.481521135,-6.045076073,1.49E-09,5.18E-08
LOC120097029,LOC120097029,40.07824764,-3.278856373,0.464554863,-6.753892625,1.44E-11,7.78E-10
Srcap,Srcap,326.1944183,-3.27597827,0.375561006,-8.72236642,2.72E-18,3.63E-16
LOC120097961,LOC120097961,26.43877543,-3.272054548,0.456090716,-6.51436521,7.30E-11,3.42E-09
LOC108351221,LOC108351221,23.88422593,-3.267880553,0.479772123,-5.605754875,2.07E-08,5.45E-07
LOC102548721,LOC102548721,15.80776908,-3.257297697,0.48122291,-5.961066379,2.51E-09,8.27E-08
Casz1,Casz1,45.02195964,-3.247389832,0.406514482,-7.714037808,1.22E-14,1.07E-12
Gml,Gml,38.25746274,-3.246464417,0.402254571,-7.709313455,1.26E-14,1.10E-12
LOC102550245,LOC102550245,53.62662809,-3.242838939,0.402664058,-7.848579728,4.21E-15,3.92E-13
Cenpb,Cenpb,42.78099342,-3.23138936,0.416152022,-7.486958589,7.05E-14,5.56E-12
Zfp385d,Zfp385d,49.88067237,-3.230572336,0.418480246,-7.514491514,5.71E-14,4.57E-12
LOC120093200,LOC120093200,85.52075142,-3.22780162,0.326542529,-9.727952211,2.29E-22,5.00E-20
LOC100359583,LOC100359583,57.76765551,-3.205087203,0.426412617,-7.383586535,1.54E-13,1.14E-11
Camk2n1,Camk2n1,1454.10662,-3.204269864,0.284134485,-11.27439819,1.76E-29,7.75E-27
LOC102557169,LOC102557169,30.5286156,-3.20237889,0.455018704,-6.604425233,3.99E-11,1.98E-09
Kcnmb3,Kcnmb3,15.0554549,-3.199861941,0.482104952,-5.892060034,3.81E-09,1.19E-07
LOC120095262,LOC120095262,20.26991012,-3.192621989,0.457986781,-6.137958401,8.36E-10,3.08E-08
Slco1a3,Slco1a3,17.00253058,-3.181319766,0.483199264,-5.94715823,2.73E-09,8.86E-08
Fam174b,Fam174b,31.54333548,-3.167533349,0.416066371,-7.210697317,5.57E-13,3.85E-11
LOC120094887,LOC120094887,15.15696278,-3.165885311,0.482837423,-5.87106456,4.33E-09,1.32E-07
LOC108351415,LOC108351415,40.17315061,-3.164140546,0.468953929,-6.564935575,5.21E-11,2.53E-09
LOC100359972,LOC100359972,19.18933739,-3.158563743,0.484199808,-6.00430514,1.92E-09,6.45E-08
LOC120101101,LOC120101101,16.97436087,-3.151920581,0.483703533,-5.925064352,3.12E-09,9.93E-08
Atf5,Atf5,2483.2125,-3.148737293,0.244042432,-12.89930495,4.54E-38,4.95E-35
LOC120096963,LOC120096963,21.94923733,-3.144397999,0.474348939,-5.731577988,9.95E-09,2.82E-07
Kif5a,Kif5a,74.51078683,-3.141652363,0.394052937,-7.869234586,3.57E-15,3.38E-13
Adcy8,Adcy8,71.93644539,-3.132164394,0.337367791,-9.121933298,7.38E-20,1.10E-17
LOC120103460,LOC120103460,18.07514701,-3.132067718,0.484368173,-5.950412429,2.67E-09,8.72E-08
Pdxdc1,Pdxdc1,154.6223908,-3.130187397,0.340076355,-9.153027796,5.54E-20,8.48E-18
Sptbn1,Sptbn1,4678.762478,-3.129118795,0.266103647,-11.75969383,6.30E-32,4.12E-29
LOC120097546,LOC120097546,16.98567197,-3.126997678,0.468775011,-5.591983932,2.24E-08,5.78E-07
LOC102546353,LOC102546353,19.90828442,-3.118332973,0.477578826,-5.35591202,8.51E-08,1.89E-06
LOC120102356,LOC120102356,30.47067216,-3.099451488,0.463642976,-6.360167824,2.02E-10,8.57E-09
Sec14l3,Sec14l3,244.1184277,-3.098917508,0.318520986,-9.699357512,3.03E-22,6.39E-20
Fau,Fau,2119.152844,-3.094755811,0.288883582,-10.71314943,8.83E-27,3.15E-24
LOC120100717,LOC120100717,57.32774609,-3.093283946,0.444022193,-6.904525715,5.04E-12,2.97E-10
LOC120095064,LOC120095064,29.08892439,-3.092170133,0.452786821,-6.475698986,9.44E-11,4.33E-09
LOC108353040,LOC108353040,43.7859926,-3.086731872,0.390461682,-7.679581647,1.60E-14,1.36E-12
LOC120095275,LOC120095275,15.70363585,-3.078814216,0.484530977,-5.827180849,5.64E-09,1.69E-07
LOC108350107,LOC108350107,18.62285189,-3.078471743,0.474378245,-5.544878732,2.94E-08,7.31E-07
Ntng1,Ntng1,29.2982786,-3.06351305,0.413058848,-7.057716131,1.69E-12,1.08E-10
LOC120101545,LOC120101545,33.23349253,-3.057603537,0.446170279,-6.599522981,4.12E-11,2.04E-09
LOC102547655,LOC102547655,19.02294444,-3.057412783,0.485559827,-5.927596053,3.07E-09,9.84E-08
Zbbx,Zbbx,29.1730046,-3.055913063,0.462664542,-6.279526476,3.40E-10,1.38E-08
Fam126a,Fam126a,72.95942526,-3.054277976,0.414463823,-7.304808871,2.78E-13,2.00E-11
Sln,Sln,13.90143925,-3.054092434,0.484320819,-5.738285163,9.56E-09,2.72E-07
LOC108351885,LOC108351885,157.1241666,-3.044580475,0.321366197,-9.418721159,4.57E-21,8.14E-19
LOC120101793,LOC120101793,24.16958752,-3.039473957,0.452402425,-6.288434504,3.21E-10,1.31E-08
Hnrnpul2,Hnrnpul2,193.1025105,-3.028660942,0.311735765,-9.675393349,3.84E-22,7.82E-20
